,Film_FirstReleaseMonth_Cat_April,Film_FirstReleaseMonth_Cat_August,Film_FirstReleaseMonth_Cat_December,Film_FirstReleaseMonth_Cat_February,Film_FirstReleaseMonth_Cat_January,Film_FirstReleaseMonth_Cat_July,Film_FirstReleaseMonth_Cat_June,Film_FirstReleaseMonth_Cat_March,Film_FirstReleaseMonth_Cat_May,Film_FirstReleaseMonth_Cat_November,Film_FirstReleaseMonth_Cat_October,Film_FirstReleaseMonth_Cat_September,Film_Metacritic,Genre_Action,Genre_Adventure,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Nomination_Film_Title,Nomination_Is_Winner,Nominations_Academy_Crew_OtherNomPrevYearCount,Nominations_Academy_Crew_OtherNomSameYearCount,Nominations_Academy_Crew_OtherWinPrevYearCount,Nominations_Academy_Film_ActorNomCount,Nominations_Academy_Film_ActressNomCount,Nominations_Academy_Film_BestPictureNomCount,Nominations_Academy_Film_DirectorNomCount,Nominations_Academy_Film_HasMajorNoms,Nominations_Academy_Film_OtherNomCount,Nominations_Academy_Film_ScreenplayNomCount,Nominations_Academy_Person_OtherBestActorNomPrevYearCount,Nominations_Academy_Person_OtherBestActorNomSameYearCount,Nominations_Academy_Person_OtherBestActorWinPrevYearCount,Nominations_Academy_Person_OtherBestSupportingActorNomPrevYearCount,Nominations_Academy_Person_OtherBestSupportingActorNomSameYearCount,Nominations_Academy_Person_OtherBestSupportingActorWinPrevYearCount,Nominations_Academy_Person_OtherNonBestActorNomPrevYearCount,Nominations_Academy_Person_OtherNonBestActorNomSameYearCount,Nominations_Academy_Person_OtherNonBestActorWinPrevYearCount,Person_Age,Person_Name
23,0,1,0,0,0,0,0,0,0,0,0,0,87.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Birdman or (The Unexpected Virtue of Ignorance)  ,0,40,1,9,0,0,1,1,0,5,1,0,0,0,0,0,0,0,0,0,63,Michael Keaton
24,0,0,0,0,0,0,0,0,1,0,0,0,81.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Foxcatcher  ,0,24,0,4,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,52,Steve Carell
25,0,0,0,0,0,0,0,0,0,0,0,1,84.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dallas Buyers Club  ,1,2,1,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,44,Matthew McConaughey
26,0,0,0,0,0,0,0,0,1,0,0,0,86.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nebraska  ,0,6,0,2,0,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,77,Bruce Dern
27,0,1,0,0,0,0,0,0,0,0,0,0,96.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12 Years a Slave  ,0,16,1,1,0,0,1,1,0,5,1,0,0,0,0,0,0,0,0,0,36,Chiwetel Ejiofor
28,0,0,1,0,0,0,0,0,0,0,0,0,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American Hustle  ,0,21,2,6,1,1,1,1,1,5,1,0,0,0,0,0,1,0,0,0,39,Christian Bale
29,0,0,1,0,0,0,0,0,0,0,0,0,75.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Wolf of Wall Street  ,0,36,4,16,0,0,1,1,0,1,1,2,0,0,1,0,0,0,1,0,39,Leonardo DiCaprio
30,0,0,0,0,0,0,0,0,0,0,1,0,86.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Lincoln  ,1,65,1,25,0,0,1,1,0,8,1,2,0,2,0,0,0,0,0,0,55,Daniel Day-Lewis
31,0,0,0,0,0,0,0,0,0,0,0,1,81.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Silver Linings Playbook  ,0,18,0,11,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,37,Bradley Cooper
32,0,0,0,0,0,0,0,0,0,0,1,0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Flight  ,0,29,0,8,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,58,Denzel Washington
33,0,0,1,0,0,0,0,0,0,0,0,0,63.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Les Misérables  ,0,35,1,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,44,Hugh Jackman
34,0,0,0,0,0,0,0,0,0,0,0,1,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Master  ,0,33,2,7,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,38,Joaquin Phoenix
35,0,0,0,0,0,0,0,0,1,0,0,0,89.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Artist  ,1,2,0,0,0,0,1,1,0,6,1,0,0,0,0,0,0,0,0,0,39,Jean Dujardin
36,0,0,0,0,0,0,0,0,0,0,0,1,87.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Moneyball  ,0,21,1,7,0,0,1,0,0,3,1,1,0,0,1,0,0,0,1,0,48,Brad Pitt
37,0,0,0,0,0,0,1,0,0,0,0,0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A Better Life  ,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Demián Bichir
38,0,0,0,0,0,0,0,0,0,0,0,1,85.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Tinker Tailor Soldier Spy  ,0,11,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,53,Gary Oldman
39,0,0,0,0,0,0,0,0,0,0,0,1,84.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Descendants  ,0,7,0,2,0,0,1,1,0,1,1,2,0,0,0,0,1,2,1,0,50,George Clooney
40,0,0,0,0,0,0,0,0,0,0,0,1,88.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The King's Speech  ,1,14,0,3,0,0,1,1,0,8,1,1,0,0,0,0,0,0,0,0,50,Colin Firth
41,0,0,0,0,0,0,0,0,0,0,0,1,82.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127 Hours  ,0,3,0,5,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,32,James Franco
42,0,0,0,0,0,0,0,0,1,0,0,0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Biutiful  ,0,14,0,7,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,41,Javier Bardem
43,0,0,1,0,0,0,0,0,0,0,0,0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True Grit  ,0,36,1,10,0,0,1,1,0,6,1,1,0,1,3,0,0,0,0,0,61,Jeff Bridges
44,0,0,0,0,0,0,0,0,0,0,0,1,95.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Social Network  ,0,17,1,8,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,27,Jesse Eisenberg
45,0,0,1,0,0,0,0,0,0,0,0,0,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Crazy Heart  ,1,22,0,3,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,60,Jeff Bridges
46,0,0,0,0,0,0,0,0,0,0,0,1,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A Single Man  ,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,Colin Firth
47,0,0,0,0,0,0,0,0,0,0,0,1,83.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Up in the Air  ,0,4,0,1,0,0,1,1,0,2,1,1,0,0,0,0,1,2,0,0,48,George Clooney
48,0,0,0,0,0,0,0,0,0,0,0,1,95.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,The Hurt Locker  ,0,5,0,0,0,0,1,1,0,5,1,0,0,0,0,0,0,0,0,0,38,Jeremy Renner
49,0,0,1,0,0,0,0,0,0,0,0,0,74.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Invictus  ,0,18,0,9,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,72,Morgan Freeman
50,0,0,0,0,0,0,0,0,0,0,1,0,84.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milk  ,1,11,0,4,0,0,1,1,0,4,1,3,0,1,0,0,0,0,0,0,48,Sean Penn
51,0,0,1,0,0,0,0,0,0,0,0,0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Curious Case of Benjamin Button  ,0,37,1,12,0,0,1,1,0,9,1,0,0,0,1,0,0,0,0,0,45,Brad Pitt
52,0,0,0,0,0,0,0,0,0,0,1,0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frost/Nixon  ,0,22,1,7,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,70,Frank Langella
53,0,0,0,0,0,0,0,0,0,0,0,1,81.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,The Wrestler  ,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56,Mickey Rourke
