,Film_FirstReleaseMonth_Cat_April,Film_FirstReleaseMonth_Cat_August,Film_FirstReleaseMonth_Cat_December,Film_FirstReleaseMonth_Cat_February,Film_FirstReleaseMonth_Cat_January,Film_FirstReleaseMonth_Cat_July,Film_FirstReleaseMonth_Cat_June,Film_FirstReleaseMonth_Cat_March,Film_FirstReleaseMonth_Cat_May,Film_FirstReleaseMonth_Cat_November,Film_FirstReleaseMonth_Cat_October,Film_FirstReleaseMonth_Cat_September,Film_Metacritic,Genre_Action,Genre_Adventure,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Nomination_Film_Title,Nomination_Is_Winner,Nominations_Academy_Crew_OtherNomPrevYearCount,Nominations_Academy_Crew_OtherNomSameYearCount,Nominations_Academy_Crew_OtherWinPrevYearCount,Nominations_Academy_Film_ActorNomCount,Nominations_Academy_Film_ActressNomCount,Nominations_Academy_Film_BestPictureNomCount,Nominations_Academy_Film_DirectorNomCount,Nominations_Academy_Film_HasMajorNoms,Nominations_Academy_Film_OtherNomCount,Nominations_Academy_Film_ScreenplayNomCount,Nominations_Academy_Person_OtherBestDirectorNomPrevYearCount,Nominations_Academy_Person_OtherBestDirectorNomSameYearCount,Nominations_Academy_Person_OtherBestDirectorWinPrevYearCount,Nominations_Academy_Person_OtherNonBestDirectorNomPrevYearCount,Nominations_Academy_Person_OtherNonBestDirectorNomSameYearCount,Nominations_Academy_Person_OtherNonBestDirectorWinPrevYearCount,Person_Age,Person_Name
24,0,0,0,1,0,0,0,0,0,0,0,0,88.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Grand Budapest Hotel  ,0,35,2,11,0,0,1,1,0,6,1,0,0,0,3,2,0,45,Wes Anderson
25,0,1,0,0,0,0,0,0,0,0,0,0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Gravity  ,1,39,2,12,0,1,1,1,0,7,0,0,0,0,3,2,0,52,Alfonso Cuarón
26,0,0,0,0,0,0,0,0,1,0,0,0,86.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nebraska  ,0,3,0,0,1,0,1,1,0,2,1,2,0,0,2,0,2,52,Alexander Payne
27,0,0,1,0,0,0,0,0,0,0,0,0,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American Hustle  ,0,18,2,7,1,1,1,1,1,5,1,2,0,0,1,1,0,55,David O. Russell
28,0,0,1,0,0,0,0,0,0,0,0,0,75.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Wolf of Wall Street  ,0,30,4,15,1,0,1,1,0,1,1,6,0,1,3,1,0,71,Martin Scorsese
29,0,1,0,0,0,0,0,0,0,0,0,0,96.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12 Years a Slave  ,0,16,1,1,1,0,1,1,0,5,1,0,0,0,0,1,0,44,Steve McQueen
30,0,0,0,0,0,0,0,0,0,0,0,1,79.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Life of Pi  ,1,26,0,8,0,0,1,1,0,8,1,1,0,1,1,1,0,58,Ang Lee
31,0,0,0,0,1,0,0,0,0,0,0,0,86.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beasts of the Southern Wild  ,0,6,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,30,Benh Zeitlin
32,0,0,0,0,0,0,0,0,0,0,0,1,81.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Silver Linings Playbook  ,0,17,0,11,1,1,1,1,1,3,1,1,0,0,0,1,0,54,David O. Russell
33,0,0,0,0,0,0,0,0,1,0,0,0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Amour  ,0,2,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,70,Michael Haneke
