,Film_FirstReleaseMonth_Cat_April,Film_FirstReleaseMonth_Cat_August,Film_FirstReleaseMonth_Cat_December,Film_FirstReleaseMonth_Cat_February,Film_FirstReleaseMonth_Cat_January,Film_FirstReleaseMonth_Cat_July,Film_FirstReleaseMonth_Cat_June,Film_FirstReleaseMonth_Cat_March,Film_FirstReleaseMonth_Cat_May,Film_FirstReleaseMonth_Cat_November,Film_FirstReleaseMonth_Cat_October,Film_FirstReleaseMonth_Cat_September,Film_Metacritic,Genre_Action,Genre_Adventure,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Nomination_Film_Title,Nomination_Is_Winner,Nominations_Academy_Crew_OtherNomPrevYearCount,Nominations_Academy_Crew_OtherNomSameYearCount,Nominations_Academy_Crew_OtherWinPrevYearCount,Nominations_Academy_Film_ActorNomCount,Nominations_Academy_Film_ActressNomCount,Nominations_Academy_Film_BestPictureNomCount,Nominations_Academy_Film_DirectorNomCount,Nominations_Academy_Film_HasMajorNoms,Nominations_Academy_Film_OtherNomCount,Nominations_Academy_Film_ScreenplayNomCount,Nominations_Academy_Person_OtherBestActressNomPrevYearCount,Nominations_Academy_Person_OtherBestActressNomSameYearCount,Nominations_Academy_Person_OtherBestActressWinPrevYearCount,Nominations_Academy_Person_OtherBestSupportingActressNomPrevYearCount,Nominations_Academy_Person_OtherBestSupportingActressNomSameYearCount,Nominations_Academy_Person_OtherBestSupportingActressWinPrevYearCount,Nominations_Academy_Person_OtherNonBestActressNomPrevYearCount,Nominations_Academy_Person_OtherNonBestActressNomSameYearCount,Nominations_Academy_Person_OtherNonBestActressWinPrevYearCount,Person_Age,Person_Name
23,0,1,0,0,0,0,0,0,0,0,0,0,76.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wild  ,0,24,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,38,Reese Witherspoon
24,0,0,0,0,0,0,0,0,0,0,0,1,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Gone Girl  ,0,28,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,Rosamund Pike
25,0,0,0,0,0,1,0,0,0,0,0,0,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blue Jasmine  ,1,26,0,4,0,0,0,0,0,1,1,2,0,0,2,0,1,0,0,0,44,Cate Blanchett
26,0,0,1,0,0,0,0,0,0,0,0,0,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American Hustle  ,0,17,2,7,1,1,1,1,1,5,1,0,0,0,4,0,0,0,0,0,39,Amy Adams
27,0,1,0,0,0,0,0,0,0,0,0,0,77.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Philomena  ,0,5,2,1,0,0,1,0,0,1,1,4,0,0,1,0,1,0,0,0,79,Judi Dench
28,0,0,0,0,0,0,0,0,0,0,0,1,58.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,August: Osage County  ,0,30,1,10,0,0,0,0,0,1,0,12,0,2,2,0,1,0,0,0,64,Meryl Streep
29,0,1,0,0,0,0,0,0,0,0,0,0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Gravity  ,0,41,2,11,0,0,1,1,0,7,0,0,0,1,0,0,0,0,0,0,49,Sandra Bullock
30,0,0,0,0,0,0,0,0,0,0,0,1,81.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Silver Linings Playbook  ,1,17,0,11,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,22,Jennifer Lawrence
31,0,0,0,0,0,0,0,0,1,0,0,0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Amour  ,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,85,Emmanuelle Riva
32,0,0,1,0,0,0,0,0,0,0,0,0,95.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Zero Dark Thirty  ,0,6,2,6,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,35,Jessica Chastain
33,0,0,0,0,0,0,0,0,0,0,0,1,73.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lo imposible  ,0,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44,Naomi Watts
34,0,0,0,0,1,0,0,0,0,0,0,0,86.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beasts of the Southern Wild  ,0,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,Quvenzhané Wallis
35,0,0,1,0,0,0,0,0,0,0,0,0,54.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Iron Lady  ,1,2,0,1,0,0,0,0,0,1,0,12,0,1,2,0,1,0,0,0,62,Meryl Streep
36,0,0,0,0,0,0,0,0,0,0,0,1,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Albert Nobbs  ,0,8,0,3,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,0,64,Glenn Close
37,0,0,0,0,0,0,0,0,0,0,1,0,65.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,My Week with Marilyn  ,0,23,2,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,31,Michelle Williams
38,0,0,1,0,0,0,0,0,0,0,0,0,71.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,The Girl with the Dragon Tattoo  ,0,26,3,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,26,Rooney Mara
39,0,1,0,0,0,0,0,0,0,0,0,0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Help  ,0,20,1,9,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,46,Viola Davis
40,0,0,0,0,0,0,0,0,0,0,0,1,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Black Swan  ,1,3,0,2,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,29,Natalie Portman
41,0,0,0,0,1,0,0,0,0,0,0,0,86.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Kids Are All Right  ,0,5,0,1,0,0,1,0,0,1,1,2,0,0,1,0,0,0,0,0,52,Annette Bening
42,0,0,0,0,1,0,0,0,0,0,0,0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Winter's Bone  ,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,20,Jennifer Lawrence
43,0,0,0,0,1,0,0,0,0,0,0,0,81.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Blue Valentine  ,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,Michelle Williams
44,0,0,0,0,0,0,0,0,0,0,0,1,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rabbit Hole  ,0,7,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,43,Nicole Kidman
45,0,0,0,0,0,0,0,0,0,1,0,0,53.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,The Blind Side  ,1,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Sandra Bullock
46,0,0,0,0,1,0,0,0,0,0,0,0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,An Education  ,0,4,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,24,Carey Mulligan
47,0,0,0,0,1,0,0,0,0,0,0,0,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Precious  ,0,3,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,26,Gabourey Sidibe
48,0,0,0,0,0,0,0,0,0,0,0,1,76.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Last Station  ,0,5,0,3,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,64,Helen Mirren
49,0,0,0,0,0,1,0,0,0,0,0,0,66.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Julie & Julia  ,0,22,1,2,0,0,0,0,0,0,0,11,0,1,2,0,1,0,0,0,60,Meryl Streep
50,0,0,1,0,0,0,0,0,0,0,0,0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Reader  ,1,26,0,10,0,0,1,1,0,1,1,3,0,0,2,0,0,0,0,0,33,Kate Winslet
51,0,0,0,0,0,0,0,0,1,0,0,0,63.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Changeling  ,0,21,2,10,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,33,Angelina Jolie
52,0,0,0,0,0,0,0,0,0,0,0,1,82.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Rachel Getting Married  ,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Anne Hathaway
53,0,0,0,0,1,0,0,0,0,0,0,0,82.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frozen River  ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,Melissa Leo
54,0,0,0,0,0,0,0,0,0,0,1,0,68.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Doubt  ,0,17,1,4,0,0,0,0,0,3,1,10,0,1,2,0,1,0,0,0,59,Meryl Streep
55,0,0,0,1,0,0,0,0,0,0,0,0,66.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,La Vie En Rose  ,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,32,Marion Cotillard
56,0,0,0,0,0,0,0,0,0,0,0,1,45.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Elizabeth: The Golden Age  ,0,13,1,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,38,Cate Blanchett
57,0,0,0,0,0,0,0,0,0,0,0,1,81.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Juno  ,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,20,Ellen Page
58,0,0,0,0,0,0,0,0,0,0,0,1,88.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Away from Her  ,0,3,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,67,Julie Christie
59,0,0,0,0,1,0,0,0,0,0,0,0,85.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Savages  ,0,7,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,43,Laura Linney
60,0,0,0,0,0,0,0,0,0,0,0,1,91.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Queen  ,1,18,1,6,0,0,1,1,0,2,1,0,0,0,2,0,0,0,0,0,61,Helen Mirren
61,0,0,1,0,0,0,0,0,0,0,0,0,73.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Notes on a Scandal  ,0,7,0,4,0,0,0,0,0,2,1,3,0,0,1,0,1,0,0,0,72,Judi Dench
62,0,0,0,0,0,0,0,0,0,0,0,1,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Little Children  ,0,11,0,3,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,31,Kate Winslet
63,0,0,0,0,0,0,1,0,0,0,0,0,62.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Devil Wears Prada  ,0,5,0,2,0,0,0,0,0,1,0,9,0,1,2,0,1,0,0,0,57,Meryl Streep
64,0,0,0,0,0,0,0,1,0,0,0,0,84.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Volver  ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Penélope Cruz
